from,to
0, 1
10, 0
1, 2
1, 11
2, 3
2, 12
3, 4
3, 13
4, 5
4, 14
5, 6
5, 15
6, 7
6, 16
7, 8
7, 17
8, 9
8, 18
9, 19
11, 10
20, 10
12, 11
11, 21
13, 12
12, 22
14, 13
13, 23
15, 14
14, 24
16, 15
15, 25
17, 16
16, 26
18, 17
17, 27
19, 18
18, 28
19, 29
21, 20
30, 20
22, 21
21, 31
23, 22
22, 32
24, 23
23, 33
25, 24
24, 34
26, 25
25, 35
27, 26
26, 36
28, 27
27, 37
29, 28
28, 38
29, 39
31, 30
40, 30
32, 31
31, 41
33, 32
32, 42
34, 33
33, 43
35, 34
34, 44
36, 35
35, 45
37, 36
36, 46
38, 37
37, 47
39, 38
38, 48
39, 49
41, 40
50, 40
42, 41
41, 51
43, 42
42, 52
44, 43
43, 53
45, 44
44, 54
46, 45
45, 55
47, 46
46, 56
48, 47
47, 57
49, 48
48, 58
49, 59
51, 50
60, 50
52, 51
51, 61
53, 52
52, 62
54, 53
53, 63
55, 54
54, 64
56, 55
55, 65
57, 56
56, 66
58, 57
57, 67
59, 58
58, 68
59, 69
61, 60
70, 60
62, 61
61, 71
63, 62
62, 72
64, 63
63, 73
65, 64
64, 74
66, 65
65, 75
67, 66
66, 76
68, 67
67, 77
69, 68
68, 78
69, 79
71, 70
72, 71
73, 72
74, 73
75, 74
76, 75
77, 76
78, 77
79, 78
