ID(ignored),x,y,z,station
1, 820.0672459, 538.2718146, 0, 0
2, 781.1789004, 522.9711227, 0, 0
3, 717.4902814, 507.4354108, 0, 1
4, 712.4593116, 453.4344542, 0, 0
5, 650.4802674, 445.6048826, 0, 0
6, 636.8823679, 430.9932098, 0, 0
7, 578.0158598, 431.8723551, 0, 0
8, 530.6329316, 444.8900252, 0, 0
9, 492.26528, 467.7144288, 0, 0
10, 463.9897126, 526.9401419, 0, 0
11, 550.3634779, 469.5976579, 0, 0
12, 518.3059493, 490.6455765, 0, 0
13, 503.7491828, 521.1612634, 0, 0
14, 487.6831953, 545.5790236, 0, 0
15, 625.0584772, 511.1231702, 0, 0
16, 606.393219, 524.8475155, 0, 0
17, 579.2487734, 552.8258358, 0, 0
18, 558.0821067, 573.9925024, 0, 0
19, 535.2679308, 602.3837496, 0, 0
20, 478.383483, 621.6156991, 0, 0
22, 630.3824955, 556.8294673, 0, 0
23, 642.8966433, 572.3375109, 0, 0
24, 643.2558484, 632.5715334, 0, 0
25, 606.393219, 630.3609664, 0, 0
26, 567.0351563, 646.3008311, 0, 0
27, 555.149846, 622.0922258, 0, 0
28, 494.0413882, 641.9577768, 0, 0
29, 479.7484945, 654.2973552, 0, 0
30, 505.3369412, 677.5852856, 0, 0
32, 793.1248767, 657.369573, 0, 0
33, 751.5420897, 644.5902873, 0, 0
34, 516.630018, 577.2885975, 0, 0
129, 818.1819712, 388.564006, 0, 0
130, 818.4922451, 342.0025177, 0, 0
138, 750.9590073, 347.3827879, 0, 0
139, 549.22735, 357.7406828, 0, 0
140, 476.706529, 381.09154, 0, 0
141, 499.8522415, 411.5856951, 0, 0
142, 771.7105399, 424.0512348, 0, 0
143, 743.3135868, 389.9041481, 0, 0
144, 556.235697, 397.6658406, 0, 0
145, 520.4446, 418.8948419, 0, 0
146, 819.252104, 436.5250104, 0, 0
