ID(ignored),x,y,z,station
0, 800.3848771, 945.7399987, 0, 0
1, 862.7087538, 935.5151437, 0, 0
2, 922.0967094, 928.5030556, 0, 0
3, 962.7822105, 923.8656879, 0, 0
4, 1001.30796, 920.7220786, 0, 0
5, 1003.777662, 887.4098624, 0, 0
6, 1021.213937, 870.802497, 0, 0
7, 1072.616807, 848.8205539, 0, 0
8, 1060.847069, 811.5515378, 0, 1
9, 842.0663876, 778.2448661, 0, 0
10, 898.1256811, 792.9580614, 0, 0
11, 960.0500344, 807.3788812, 0, 0
12, 952.1198552, 838.5868035, 0, 0
13, 982.1494607, 847.6054176, 0, 0
14, 1013.575406, 798.2565375, 0, 0
15, 1054.729763, 787.940549, 0, 0
16, 1135.164669, 800.4140286, 0, 0
17, 1132.867221, 829.2716691, 0, 0
